59014.00 	0.168426 0.013271  0.447385 0.021173 -0.2744171 0.0173957
59015.00 	0.170177 0.013304  0.446828 0.021240 -0.2745636 0.0174545
59016.00 	0.171919 0.013337  0.446244 0.021307 -0.2746972 0.0175131
59017.00 	0.173652 0.013370  0.445633 0.021374 -0.2747813 0.0175718
59018.00 	0.175375 0.013404  0.444995 0.021440 -0.2747523 0.0176303
59019.00 	0.177087 0.013437  0.444330 0.021507 -0.2745830 0.0176888
59020.00 	0.178788 0.013470  0.443638 0.021574 -0.2742459 0.0177472
59021.00 	0.180477 0.013503  0.442920 0.021641 -0.2737882 0.0178055
59022.00 	0.182154 0.013535  0.442175 0.021707 -0.2732147 0.0178638
59023.00 	0.183819 0.013568  0.441404 0.021774 -0.2726223 0.0179220
59024.00 	0.185470 0.013601  0.440608 0.021840 -0.2721252 0.0179802
59025.00 	0.187107 0.013634  0.439786 0.021906 -0.2717767 0.0180383
59026.00 	0.188731 0.013666  0.438938 0.021973 -0.2716134 0.0180963
59027.00 	0.190340 0.013699  0.438065 0.022039 -0.2716454 0.0181543
59028.00 	0.191933 0.013731  0.437167 0.022105 -0.2718033 0.0182122
59029.00 	0.193511 0.013764  0.436244 0.022171 -0.2720475 0.0182700
59030.00 	0.195073 0.013796  0.435297 0.022237 -0.2722887 0.0183278
59031.00 	0.196618 0.013828  0.434325 0.022303 -0.2723989 0.0183855
59032.00 	0.198147 0.013861  0.433330 0.022368 -0.2723230 0.0184432
59033.00 	0.199657 0.013893  0.432311 0.022434 -0.2720120 0.0185008
59034.00 	0.201150 0.013925  0.431268 0.022500 -0.2714411 0.0185583
59035.00 	0.202624 0.013957  0.430202 0.022565 -0.2707163 0.0186158
59036.00 	0.204079 0.013989  0.429113 0.022631 -0.2699505 0.0186732
59037.00 	0.205515 0.014021  0.428002 0.022696 -0.2692284 0.0187306
59038.00 	0.206931 0.014053  0.426869 0.022761 -0.2685904 0.0187879
59039.00 	0.208327 0.014085  0.425713 0.022827 -0.2680142 0.0188451
59040.00 	0.209702 0.014117  0.424536 0.022892 -0.2675248 0.0189023
59041.00 	0.211056 0.014149  0.423338 0.022957 -0.2671538 0.0189594
59042.00 	0.212389 0.014180  0.422118 0.023022 -0.2668309 0.0190165
59043.00 	0.213699 0.014212  0.420878 0.023087 -0.2665130 0.0190735
59044.00 	0.214987 0.014244  0.419618 0.023152 -0.2661781 0.0191305
59045.00 	0.216253 0.014275  0.418338 0.023217 -0.2657705 0.0191874
59046.00 	0.217495 0.014307  0.417038 0.023281 -0.2653018 0.0192442
59047.00 	0.218714 0.014338  0.415719 0.023346 -0.2646700 0.0193010
59048.00 	0.219908 0.014370  0.414382 0.023411 -0.2639322 0.0193577
59049.00 	0.221079 0.014401  0.413025 0.023475 -0.2631351 0.0194144
59050.00 	0.222225 0.014432  0.411651 0.023540 -0.2623199 0.0194710
59051.00 	0.223345 0.014464  0.410259 0.023604 -0.2616157 0.0195276
59052.00 	0.224441 0.014495  0.408850 0.023669 -0.2610725 0.0195841
59053.00 	0.225510 0.014526  0.407424 0.023733 -0.2608067 0.0196405
59054.00 	0.226554 0.014557  0.405982 0.023797 -0.2607815 0.0196969
59055.00 	0.227571 0.014588  0.404523 0.023861 -0.2609781 0.0197532
59056.00 	0.228561 0.014619  0.403049 0.023925 -0.2613341 0.0198095
59057.00 	0.229525 0.014650  0.401560 0.023989 -0.2617372 0.0198658
59058.00 	0.230460 0.014681  0.400055 0.024053 -0.2620652 0.0199219
59059.00 	0.231369 0.014712  0.398537 0.024117 -0.2622286 0.0199781
59060.00 	0.232249 0.014743  0.397005 0.024181 -0.2622327 0.0200341
59061.00 	0.233101 0.014773  0.395459 0.024245 -0.2620823 0.0200902
59062.00 	0.233925 0.014804  0.393900 0.024308 -0.2617924 0.0201461
59063.00 	0.234719 0.014835  0.392328 0.024372 -0.2614657 0.0202021
59064.00 	0.235485 0.014865  0.390745 0.024435 -0.2611409 0.0202579
59065.00 	0.236221 0.014896  0.389149 0.024499 -0.2608573 0.0203137
59066.00 	0.236928 0.014926  0.387543 0.024562 -0.2607127 0.0203695
59067.00 	0.237605 0.014957  0.385926 0.024626 -0.2606838 0.0204252
59068.00 	0.238252 0.014987  0.384298 0.024689 -0.2607653 0.0204809
59069.00 	0.238869 0.015018  0.382661 0.024752 -0.2609321 0.0205365
59070.00 	0.239455 0.015048  0.381014 0.024815 -0.2611620 0.0205920
59071.00 	0.240011 0.015078  0.379359 0.024878 -0.2613741 0.0206475
59072.00 	0.240536 0.015109  0.377695 0.024941 -0.2615356 0.0207030
